City,Cloudiness,Country,Date,Humidity,Lat,Long,Max temp,Wind Speed
Xining,100,CN,1592242281,82,36.62,101.77,54.82,1.77
Isangel,8,VU,1592242054,78,-19.55,169.27,73.13,17.81
Olafsvik,99,IS,1592242054,72,64.89,-23.71,45.95,14.94
Lompoc,14,US,1592242281,68,34.64,-120.46,72.0,9.17
Kaeo,100,NZ,1592242281,77,-35.1,173.78,59.0,7.0
Diego de Almagro,91,CL,1592242281,23,-26.37,-70.05,73.49,7.81
Lebu,100,CL,1592242281,76,-37.62,-73.65,54.16,27.34
Leirvik,0,NO,1592242282,59,59.78,5.5,72.0,1.99
Port Lincoln,100,AU,1592242055,82,-34.73,135.87,59.11,13.71
Chushan,93,CN,1592242282,60,33.3,113.65,77.77,6.51
Port Blair,100,IN,1592242282,82,11.67,92.75,82.69,16.49
Bredasdorp,17,ZA,1592241803,87,-34.53,20.04,51.8,5.93
North Battleford,90,CA,1592242283,67,52.78,-108.28,59.0,14.99
Wuwei,100,CN,1592242283,61,37.93,102.64,62.74,3.02
Gobabis,0,NA,1592242044,35,-22.45,18.97,52.86,5.95
Touros,40,BR,1592242283,62,-5.2,-35.46,86.0,10.29
Araouane,0,ML,1592242057,6,18.9,-3.53,113.77,19.62
Broken Hill,0,AU,1592242262,57,-31.95,141.43,51.8,9.17
Ahipara,100,NZ,1592242057,86,-35.17,173.17,55.87,9.17
Watertown,75,US,1592242264,40,42.37,-71.18,73.4,10.29
Talavera,75,PH,1592242284,88,15.62,120.93,80.6,2.24
Palana,0,RU,1592242284,73,59.12,159.97,49.77,2.53
Port Elizabeth,20,ZA,1592242284,93,-33.92,25.57,55.4,8.05
Kruisfontein,96,ZA,1592242058,88,-34.0,24.73,53.71,4.79
Manokwari,23,ID,1592242285,75,-0.87,134.08,79.05,5.14
Kiryat Gat,0,IL,1592242285,30,31.61,34.76,77.0,7.0
Mahébourg,75,MU,1592242285,78,-20.41,57.7,71.6,16.11
Am Timan,75,TD,1592242285,38,11.03,20.28,91.72,8.41
Kępno,76,PL,1592242286,100,51.28,17.99,71.01,5.48
Arrondissement de Saint-Denis,75,FR,1592242286,56,48.92,2.33,72.0,13.87
Thompson,40,CA,1592242222,50,55.74,-97.86,75.2,8.05
Terney,100,RU,1592242286,90,45.05,136.61,49.82,3.6
Luan,75,CH,1592242286,49,46.36,6.98,69.8,17.22
Butembo,77,CD,1592242287,100,0.15,29.28,58.68,2.26
North Bend,90,US,1592242287,87,43.41,-124.22,59.0,8.05
Springbok,0,ZA,1592242287,45,-29.66,17.89,51.15,12.33
Dikson,99,RU,1592242287,91,73.51,80.55,33.85,20.67
Madarounfa,0,NE,1592242288,44,13.31,7.16,95.0,11.41
Severomorsk,96,RU,1592242288,53,69.07,33.42,51.8,8.95
Mārkāpur,100,IN,1592242288,51,15.73,79.28,88.66,15.82
Lobatse,0,BW,1592242288,27,-25.22,25.67,53.6,2.24
Vijayawada,100,IN,1592242288,55,16.52,80.62,90.14,4.92
Colombo,40,LK,1592242066,83,6.93,79.85,84.2,6.93
eMkhomazi,0,ZA,1592242289,67,-30.21,30.8,63.0,4.0
Kamenka,1,RU,1592242038,40,51.32,42.77,72.0,1.01
Safi,73,MA,1592242289,64,32.3,-9.24,73.54,22.95
Butaritari,21,KI,1592242062,73,3.07,172.79,83.12,7.7
San Patricio,5,MX,1592242062,66,19.22,-104.7,86.0,5.82
Comitancillo,34,GT,1592242289,61,15.08,-91.72,69.01,1.01
Ukiah,1,US,1592242289,60,39.15,-123.21,68.0,12.75
Saint-Philippe,48,RE,1592242290,69,-21.36,55.77,73.4,19.46
Rodolfo Sánchez Taboada,22,MX,1592242290,74,31.72,-116.57,69.01,1.99
Aksarka,90,RU,1592242054,72,66.56,67.8,58.19,15.23
Batagay,76,RU,1592242290,56,67.63,134.63,60.39,7.11
Sakakah,0,SA,1592242290,16,29.97,40.21,93.2,13.87
Camacha,40,PT,1592242290,78,33.08,-16.33,73.4,10.29
Ancud,99,CL,1592242291,87,-41.87,-73.82,50.0,6.93
Ouadda,89,CF,1592242291,80,8.08,22.4,71.22,1.25
Aktas,75,KZ,1592242291,82,49.78,72.96,55.4,17.9
Mar del Plata,55,AR,1592242004,54,-38.0,-57.56,57.99,13.87
Dunda,0,TZ,1592242025,55,-8.12,34.25,64.13,6.85
Rundu,0,NA,1592242292,39,-17.93,19.77,60.73,5.95
Lima,90,PE,1592242108,77,-12.04,-77.03,64.4,12.75
Ulladulla,0,AU,1592242292,67,-35.35,150.47,57.99,13.87
Anadyr,64,RU,1592242292,93,64.75,177.48,37.4,8.66
Latung,38,PH,1592242292,77,5.5,120.88,82.81,7.52
Morón,81,AR,1592242292,41,-34.65,-58.62,60.01,11.41
Saint-Augustin,22,CA,1592242293,38,51.23,-58.65,61.48,18.61
Mount Isa,0,AU,1592242235,36,-20.73,139.5,60.8,11.41
Robertsport,49,LR,1592242293,80,6.75,-11.37,80.8,8.97
Denpasar,40,ID,1592242027,78,-8.65,115.22,82.4,9.17
Hirara,93,JP,1592242293,82,24.8,125.28,83.59,14.99
Lagoa,92,PT,1592242015,86,39.05,-27.98,63.82,25.59
Bereda,100,ES,1592242294,81,43.27,-7.54,64.99,8.01
Lake Sebu,61,PH,1592242294,93,6.22,124.69,69.01,0.72
Antofagasta,75,CL,1592242294,67,-23.65,-70.4,62.6,12.75
Broome,20,US,1592242067,45,42.25,-75.83,71.01,6.93
Rudraprayāg,14,IN,1592242294,43,30.28,78.98,77.29,3.76
Alappuzha,100,IN,1592242294,86,9.49,76.33,81.3,7.36
Tangzhai,100,CN,1592242295,72,34.43,116.59,82.99,5.06
Berlevåg,75,NO,1592242295,87,70.86,29.09,42.8,23.04
Vardø,20,NO,1592242295,57,70.37,31.11,48.2,31.09
Rāzole,100,IN,1592242295,67,16.48,81.83,88.43,7.7
Soloneshnoye,39,RU,1592242295,80,51.65,84.32,48.22,0.85
Dingle,100,PH,1592242068,87,11.0,122.67,77.45,5.7
Saint Anthony,1,US,1592242296,44,45.02,-93.22,78.8,13.87
Sabang,100,ID,1592242296,76,5.89,95.32,82.24,12.93
Sibolga,100,ID,1592242296,76,1.74,98.78,80.1,2.3
Storslett,75,NO,1592242296,70,69.77,21.02,46.4,23.04
Huarmey,84,PE,1592242014,65,-10.07,-78.15,70.3,11.18
Te Anau,86,NZ,1592241823,86,-45.42,167.72,51.64,4.92
Mukhen,99,RU,1592242297,95,48.1,136.1,51.04,4.63
Russell,20,US,1592242047,48,32.35,-85.2,84.2,6.93
Vao,0,NC,1592242069,72,-22.67,167.48,72.01,20.92
Kalulushi,61,ZM,1592242297,54,-12.84,28.09,61.88,6.71
Zelenogradsk,75,RU,1592242298,72,54.96,20.48,62.6,4.47
Jacareacanga,40,BR,1592242298,49,-6.22,-57.75,91.4,4.7
Hong Kong,43,HK,1592242159,74,22.29,114.16,84.0,8.01
Nouadhibou,1,MR,1592241818,21,20.93,-17.03,100.4,8.05
Mt. Pleasant,90,US,1592242127,83,32.79,-79.86,73.99,9.17
Caravelas,27,BR,1592242298,67,-17.71,-39.25,78.4,12.21
Itoman,20,JP,1592242299,88,26.12,127.67,82.4,13.87
Ketchikan,40,US,1592242071,67,55.34,-131.65,57.2,4.7
Hare Bay,90,CA,1592242299,82,48.85,-54.01,57.2,9.17
Artesia,40,US,1592242225,68,33.87,-118.08,75.99,4.7
Yumen,33,CN,1592242002,35,40.28,97.2,69.13,8.21
Buala,72,SB,1592242300,82,-8.14,159.59,80.49,9.1
Lakatoro,22,VU,1592242300,75,-16.1,167.42,77.86,18.92
Havre-St-Pierre,1,CA,1592242300,41,50.23,-63.6,59.0,19.46
Guerrero Negro,2,MX,1592242072,62,27.98,-114.06,70.57,14.45
Serowe,82,BW,1592242301,45,-22.38,26.72,60.22,7.45
San Quintín,89,MX,1592242071,66,30.48,-115.95,66.63,6.13
Winneba,80,GH,1592242301,78,5.35,-0.62,82.4,11.41
Teya,43,RU,1592242301,90,60.38,92.63,41.86,3.71
Kargasok,18,RU,1592242301,83,59.06,80.86,41.16,7.05
Moelv,76,NO,1592242302,43,60.93,10.7,73.0,1.01
Amapá,59,BR,1592242302,94,1.0,-52.0,80.33,2.71
Kununurra,48,AU,1592242302,37,-15.77,128.73,75.2,3.36
Nelson Bay,0,AU,1592242302,87,-32.72,152.15,50.0,11.41
Dubuque,90,US,1592242302,46,42.48,-90.87,75.2,12.75
Baracoa,95,CU,1592242303,70,20.35,-74.5,85.87,7.7
Vila Franca do Campo,40,PT,1592242074,68,37.72,-25.43,66.2,12.75
Dzhebariki-Khaya,10,RU,1592242303,74,62.22,135.8,51.49,2.64
Arawa,97,PG,1592242303,82,-6.21,155.54,77.67,1.34
Tommot,0,RU,1592242304,88,58.96,126.29,45.59,1.12
Krasnorechenskiy,100,RU,1592242304,92,44.63,135.35,47.01,1.32
Tennō,52,JP,1592242304,90,39.9,139.97,66.9,15.32
Staryy Nadym,76,RU,1592242304,62,65.61,72.68,53.65,6.08
Makakilo City,40,US,1592242189,73,21.35,-158.09,78.8,4.7
Koslan,91,RU,1592242305,57,63.46,48.9,68.47,7.9
Kutum,44,SD,1592242305,20,14.2,24.67,85.71,9.93
Hanstholm,0,DK,1592242305,58,57.12,8.62,72.0,8.34
Walvis Bay,0,NA,1592242305,17,-22.96,14.51,75.2,6.93
Haapiti,75,PF,1592242305,83,-17.57,-149.87,75.2,3.36
São Filipe,1,CV,1592242076,70,14.9,-24.5,79.39,10.76
Katsuura,75,JP,1592242306,83,35.13,140.3,75.99,12.75
Bac Lieu,100,VN,1592242306,77,9.29,105.72,82.94,2.73
Witu,50,KE,1592242306,74,-2.39,40.44,77.38,16.06
Tabas,0,IR,1592242306,8,33.6,56.92,100.4,6.93
Tsabong,0,BW,1592242306,40,-26.02,22.4,52.36,9.89
Ayan,100,RU,1592242307,95,56.45,138.17,41.92,10.16
Jutaí,49,BR,1592242307,80,-5.18,-68.9,83.23,3.33
Conceição do Araguaia,25,BR,1592242307,44,-8.26,-49.26,93.2,9.17
Vvedenka,75,UA,1592242307,53,49.82,36.51,77.0,8.95
Merauke,62,ID,1592242307,84,-8.47,140.33,78.13,17.63
Umeå,100,SE,1592242026,60,63.83,20.26,71.6,8.05
Fujin,93,CN,1592242065,92,47.26,132.03,50.13,7.27
Marsh Harbour,100,BS,1592242308,72,26.54,-77.06,80.19,10.51
Elk City,1,US,1592242308,28,35.41,-99.4,86.0,12.75
Husavik,75,IS,1592242308,62,66.04,-17.34,57.2,25.28
Saquena,47,PE,1592242309,85,-4.67,-73.52,82.27,2.01
San Rafael,9,AR,1592242204,32,-34.62,-68.33,60.13,13.29
Kabinda,100,CD,1592242079,37,-6.13,24.48,73.09,1.86
Mbulu,77,TZ,1592242309,77,-3.85,35.53,59.0,6.98
Ouargaye,0,BF,1592242310,30,11.5,0.06,98.44,8.88
Pochutla,5,MX,1592242310,52,15.74,-96.47,91.99,7.72
Port Keats,62,AU,1592242310,50,-14.25,129.55,74.46,10.94
Tyup,38,KG,1592242310,53,42.73,78.36,55.11,2.89
Kars,75,TR,1592242177,81,40.6,43.09,53.6,5.82
Cockburn Town,40,TC,1592242029,70,21.46,-71.14,86.0,13.87
Siderno,20,IT,1592242311,60,38.28,16.3,73.4,13.87
Aranos,0,NA,1592242311,34,-24.13,19.12,52.65,10.85
La Santisima Trinidad,69,BO,1592242310,54,-14.83,-64.9,80.6,4.7
Lewistown,1,US,1592242311,38,40.6,-77.57,75.2,3.36
Bethel,75,US,1592242311,43,41.37,-73.41,73.99,9.17
Puerto Vallarta,5,MX,1592242086,66,20.62,-105.23,84.2,6.93
Iqaluit,75,CA,1592242312,69,63.75,-68.51,39.2,18.34
Loandjili,75,CG,1592242312,78,-4.76,11.86,77.0,8.05
Richards Bay,0,ZA,1592242312,72,-28.78,32.04,60.06,5.61
Skibbereen,20,IE,1592242312,72,51.55,-9.27,62.6,8.05
Moree,0,AU,1592242313,93,-29.47,149.85,41.0,3.36
Chipinge,27,ZW,1592242313,64,-20.19,32.62,51.62,4.61
Chiredzi,2,ZW,1592242313,46,-21.05,31.67,61.34,5.14
Pinsk,32,BY,1592242313,85,52.12,26.1,65.53,4.94
Tuktoyaktuk,40,CA,1592242313,48,69.45,-133.04,60.8,10.29
Qena,0,EG,1592242314,22,26.16,32.72,98.6,10.29
Tuatapere,46,NZ,1592242314,88,-46.13,167.68,49.44,4.5
Sidareja,68,ID,1592242314,94,-7.48,108.79,75.76,2.44
Natal,40,BR,1592242314,62,-5.79,-35.21,87.8,10.29
Dunedin,1,NZ,1592242083,62,-45.87,170.5,55.0,1.01
Sola,6,VU,1592242314,79,-13.88,167.55,79.32,24.58
Hopelchén,75,MX,1592242315,66,19.77,-89.85,86.0,0.89
Taree,0,AU,1592242315,93,-31.9,152.47,46.4,5.82
Cayenne,95,GF,1592242207,83,4.93,-52.33,84.2,6.93
Vondrozo,78,MG,1592242315,86,-22.82,47.28,56.93,2.35
Būlaevo,7,KZ,1592242315,71,54.91,70.44,51.51,6.8
Hobyo,29,SO,1592242315,71,5.35,48.53,80.85,28.03
Enshi,96,CN,1592242316,85,30.3,109.48,75.56,1.79
Bilma,0,NE,1592242316,8,18.69,12.92,101.77,11.83
Charters Towers,95,AU,1592242316,93,-20.1,146.27,67.14,5.86
Talcahuano,75,CL,1592242316,82,-36.72,-73.12,55.4,20.8
Comodoro Rivadavia,100,AR,1592242199,81,-45.87,-67.5,48.2,2.24
Sokoni,20,TZ,1592242317,74,-6.43,39.55,78.8,11.41
La Sarre,12,CA,1592242317,37,48.8,-79.2,71.82,4.9
Gurupi,15,BR,1592242240,43,-11.73,-49.07,87.37,9.37
Laguna,1,US,1592242317,49,38.42,-121.42,75.0,5.82
Quang Ngai,100,VN,1592242226,92,15.12,108.8,76.75,7.43
Yangi Marg`ilon,3,UZ,1592242087,27,40.43,71.72,78.8,9.17
Whitehorse,75,CA,1592242318,76,60.72,-135.05,53.6,10.29
Senneterre,40,CA,1592242057,28,48.38,-77.23,71.6,2.24
Banda Aceh,100,ID,1592242318,79,5.56,95.32,80.01,8.28
Bay City,1,US,1592242319,46,43.59,-83.89,71.01,10.29
Sittwe,100,MM,1592242319,87,20.15,92.9,81.84,13.58
Belmonte,75,BR,1592242319,83,-15.86,-38.88,73.4,3.36
Conde,40,BR,1592242319,70,-7.26,-34.91,86.0,8.05
Grindavik,40,IS,1592242088,66,63.84,-22.43,50.0,18.34
Salta,99,AR,1592242320,51,-24.79,-65.41,60.8,3.36
Longyearbyen,75,SJ,1592242320,59,78.22,15.64,37.4,16.11
Poum,0,NC,1592242320,78,-20.23,164.02,73.94,17.25
Hambantota,19,LK,1592242320,81,6.12,81.12,82.54,17.05
Waipawa,100,NZ,1592242089,77,-41.41,175.52,54.0,1.99
Copiapó,90,CL,1592242321,76,-27.37,-70.33,57.2,10.29
Kyshtovka,3,RU,1592242321,76,56.55,76.63,43.32,4.23
Kalaiya,35,NP,1592242321,69,27.03,85.0,82.89,9.19
Eureka,92,US,1592241856,100,40.8,-124.16,62.01,2.89
Taldan,54,RU,1592242322,70,53.67,124.8,55.98,6.42
Northampton,60,US,1592242322,51,40.88,-75.25,73.99,1.01
Adrar,9,MR,1592242322,9,20.5,-10.07,108.19,16.89
Viesīte,62,LV,1592242322,97,56.35,25.56,62.46,2.17
Port Hedland,5,AU,1592242323,45,-20.32,118.57,64.4,6.93
Andros Town,75,BS,1592242209,66,24.7,-77.77,86.0,6.93
Faanui,82,PF,1592242323,80,-16.48,-151.75,80.55,16.08
Pevek,2,RU,1592242323,83,69.7,170.31,39.42,1.79
Yasothon,100,TH,1592242323,92,15.75,104.13,80.01,9.71
Bintulu,75,MY,1592242324,94,3.17,113.03,80.6,2.24
Kuteynykove,55,UA,1592242324,80,47.81,38.29,69.03,11.54
‘Ewa Beach,40,US,1592242324,61,21.32,-158.01,78.8,11.41
Iroquois Falls,20,CA,1592242324,33,48.77,-80.68,71.6,5.82
Sawākin,16,SD,1592242325,47,19.11,37.33,87.94,7.2
Aranda de Duero,98,ES,1592242325,49,41.67,-3.69,67.15,10.02
Kushmurun,27,KZ,1592242325,55,52.45,64.63,61.09,6.51
Mongu,0,ZM,1592242325,47,-15.25,23.13,62.65,5.46
Souillac,75,MU,1592242325,78,-20.52,57.52,71.6,16.11
Nanortalik,77,GL,1592242326,75,60.14,-45.24,40.82,6.35
Atoyac,5,MX,1592242326,47,20.02,-103.53,77.0,4.7
Dudinka,8,RU,1592242326,65,69.41,86.18,41.0,8.95
Senador José Porfírio,40,BR,1592242326,66,-2.59,-51.95,85.05,0.58
Līsakovsk,31,KZ,1592242326,63,52.54,62.49,60.17,6.91
Tchibanga,43,GA,1592242327,89,-2.85,11.03,72.66,4.45
Qorveh,40,IR,1592242323,42,35.17,47.8,61.66,1.32
Port Hardy,90,CA,1592242327,87,50.7,-127.42,51.8,14.99
Solton,19,RU,1592242327,90,52.84,86.48,47.46,3.31
Meulaboh,100,ID,1592242328,89,4.14,96.13,77.61,5.39
Orichi,4,RU,1592242328,86,58.4,49.06,58.12,6.42
Iberia,1,US,1592242328,52,29.95,-91.75,89.6,6.93
Hervey Bay,7,AU,1592242328,93,-25.3,152.85,63.0,5.99
The Valley,40,AI,1592242328,58,18.22,-63.06,87.8,18.34
Rocky Mountain House,62,CA,1592242328,45,52.37,-114.92,62.17,5.28
Kédougou,75,SN,1592242329,47,12.56,-12.17,96.8,4.7
Kondinskoye,53,RU,1592242329,66,59.65,67.41,57.36,9.35
Izhma,97,RU,1592242329,50,65.01,53.91,69.66,8.14
